,index,population,Y_Median,Y_l_CI,Y_u_CI,O_Median,O_l_CI,O_u_CI,pvalue
0,Qall,4cm,56726.15244585515,29184.315244695954,89622.67833817124,78369.12635165575,22341.440466626773,162375.17506794076,0.00061358850567506
0,Qall,4em,359473.9285714285,157722.3958333334,713158.3273723938,679946.515759279,322800.49847393297,1183329.733211013,8.180439350334084e-10
1,Ki67frac,4cm,0.40227210237183353,0.2648466526487911,0.5851977206693789,0.3592032682178255,0.2826851863069349,0.4498033782446945,0.02281479324977492
1,Ki67frac,4em,0.2017692242922695,0.1215519403680526,0.33054886707721737,0.201155649841825,0.12832298248375848,0.2617893472399064,0.4817189787877906
