,index,population,Y_MAP,Y_l_CI,Y_u_CI,O_MAP,O_l_CI,O_u_CI,pvalue
0,Qall,4cm,54699.1837743967,29184.315244695954,89622.67833817124,62661.281354269326,22341.440466626773,162375.17506794076,0.00033070712140843107
0,Qall,4em,301802.923381484,157722.3958333334,713158.3273723938,692189.7067355877,322800.49847393297,1183329.733211013,2.486624166725201e-09
1,Ki67frac,4cm,0.318622750937834,0.2648466526487911,0.5851977206693789,0.35900051138461253,0.2826851863069349,0.4498033782446945,0.0003311879713190256
1,Ki67frac,4em,0.15718241549306786,0.1215519403680526,0.33054886707721737,0.21663259668961182,0.12832298248375848,0.2617893472399064,0.20249392470300215
